,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1927-08-31,1.0,,,,,,,,,,,,,
1927-09-30,1.022107640619078,,,,,,,,,,,,,
1927-10-31,1.0085671114956365,,,,,,,,,,,,,
1927-11-30,1.054478494344714,,,,,,,,,,,,,
1927-12-31,1.07028560224173,,,,,,,,,,,,,
1928-01-31,1.0665723914107206,,,,,,,,,,,,,
1928-02-29,1.0587897322559667,,,,,,,,,,,,,
1928-03-31,1.131241021449651,,,,,,,,,,,,,
1928-04-30,1.161728786498503,,,,,,,,,,,,,
1928-05-31,1.1675726101171846,,,,,,,,,,,,,
1928-06-30,1.1418985969874107,,,,,,,,,,,,,
1928-07-31,1.1411127254364057,,,,,,,,,,,,,
1928-08-31,1.1963819272754583,,,,,,,,,,,,,
1928-09-30,1.212891709453889,,,,,,,,,,,,,
1928-10-31,1.2414608188723484,,,,,,,,,,,,,
1928-11-30,1.3324176511104302,,,,,,,,,,,,,
1928-12-31,1.3346657467103489,,,,,,,,,,,,,
1929-01-31,1.3760103536158115,,,,,,,,,,,,,
1929-02-28,1.3626458975042146,,,,,,,,,,,,,
1929-03-31,1.352661768971587,,,,,,,,,,,,,
1929-04-30,1.3927928993524488,,,,,,,,,,,,,
1929-05-31,1.3433475575364595,,,,,,,,,,,,,
1929-06-30,1.4458122251790357,,,,,,,,,,,,,
1929-07-31,1.4864884827128861,,,,,,,,,,,,,
1929-08-31,1.571172178048771,,,,,,,,,,,,,
1929-09-30,1.0,,,,,,,,,,,,,
1929-10-31,1.0,,,,,,,,,,,,,
1929-11-30,0.9308929648700621,,,,,,,,,,,,,
1929-12-31,0.9425525984036627,,,,,,,,,,,,,
1930-01-31,0.976314365163768,,,,,,,,,,,,,
1930-02-28,0.9954788055896657,,,,,,,,,,,,,
1930-03-31,1.0466671094544104,,,,,,,,,,,,,
1930-04-30,1.0498448923056105,,,,,,,,,,,,,
1930-05-31,1.0455538797688522,,,,,,,,,,,,,
1930-06-30,0.944264499659254,,,,,,,,,,,,,
1930-07-31,0.9678244362990556,,,,,,,,,,,,,
1930-08-31,0.9730327484110247,,,,,,,,,,,,,
1930-09-30,0.9012154759732076,,,,,,,,,,,,,
1930-10-31,0.8620205212568337,,,,,,,,,,,,,
1930-11-30,0.8533428231823336,,,,,,,,,,,,,
1930-12-31,0.8140172582257291,,,,,,,,,,,,,
1931-01-31,0.8350848970373195,,,,,,,,,,,,,
1931-02-28,0.8964855396212025,,,,,,,,,,,,,
1931-03-31,0.8637847775119679,,,,,,,,,,,,,
1931-04-30,0.8248383407973747,,,,,,,,,,,,,
1931-05-31,0.7625625092720715,,,,,,,,,,,,,
1931-06-30,0.8273611971519358,,,,,,,,,,,,,
1931-07-31,0.7908172872191787,,,,,,,,,,,,,
1931-08-31,0.7971204027711136,,,,,,,,,,,,,
1931-09-30,1.0,,,,,,,,,,,,,
1931-10-31,1.0,,,,,,,,,,,,,
1931-11-30,1.0,,,,,,,,,,,,,
1931-12-31,1.0,,,,,,,,,,,,,
1932-01-31,1.0,,,,,,,,,,,,,
1932-02-29,1.0,,,,,,,,,,,,,
1932-03-31,1.0,,,,,,,,,,,,,
1932-04-30,1.0,,,,,,,,,,,,,
1932-05-31,1.0,,,,,,,,,,,,,
1932-06-30,1.0,,,,,,,,,,,,,
1932-07-31,1.0,,,,,,,,,,,,,
1932-08-31,1.0,,,,,,,,,,,,,
1932-09-30,1.0,,,,,,,,,,,,,
1932-10-31,1.0,,,,,,,,,,,,,
1932-11-30,1.0,,,,,,,,,,,,,
1932-12-31,1.0,,,,,,,,,,,,,
1933-01-31,1.0,,,,,,,,,,,,,
1933-02-28,1.0,,,,,,,,,,,,,
1933-03-31,1.0,,,,,,,,,,,,,
1933-04-30,1.0,,,,,,,,,,,,,
1933-05-31,1.0,,,,,,,,,,,,,
1933-06-30,1.0,,,,,,,,,,,,,
1933-07-31,1.0,,,,,,,,,,,,,
1933-08-31,1.0,,,,,,,,,,,,,
1933-09-30,1.0,,,,,,,,,,,,,
1933-10-31,1.0,,,,,,,,,,,,,
1933-11-30,1.0,,,,,,,,,,,,,
1933-12-31,1.0,,,,,,,,,,,,,
1934-01-31,1.0,,,,,,,,,,,,,
1934-02-28,1.0,,,,,,,,,,,,,
1934-03-31,1.0,,,,,,,,,,,,,
1934-04-30,1.0,,,,,,,,,,,,,
1934-05-31,1.0,,,,,,,,,,,,,
1934-06-30,1.0,,,,,,,,,,,,,
1934-07-31,1.0,,,,,,,,,,,,,
1934-08-31,1.0,,,,,,,,,,,,,
